conv1 CPU 4476 0 4476
norm1 CPU 1552 4479 6031
pool1 CPU 982 6033 7015
conv2 CPU 27511 7017 34528
norm2 CPU 1984 34530 36514
pool2 CPU 1049 36517 37566
conv3 CPU 8690 37567 46257
conv4 CPU 12957 46259 59216
conv5 CPU 8593 59217 67810
pool5 CPU 141 67812 67953
fc6 CPU 6363 67954 74317
fc7 CPU 2933 74318 77251
fc8 CPU 720 77252 77972
prob CPU 24 77973 77997
conv1 CPU 3806 0 3806
norm1 CPU 1393 3809 5202
pool1 CPU 252 5204 5456
conv2 CPU 26999 5458 32457
norm2 CPU 1271 32459 33730
pool2 CPU 1042 33733 34775
conv3 CPU 8699 34776 43475
conv4 CPU 12858 43477 56335
conv5 CPU 8625 56337 64962
pool5 CPU 144 64964 65108
fc6 CPU 6623 65109 71732
fc7 CPU 2762 71734 74496
fc8 CPU 651 74498 75149
prob CPU 24 75150 75174
conv1 CPU 2728 0 2728
norm1 CPU 1056 2730 3786
pool1 CPU 229 3789 4018
conv2 CPU 26693 4020 30713
norm2 CPU 2909 30715 33624
pool2 CPU 1041 33627 34668
conv3 CPU 8951 34669 43620
conv4 CPU 12899 43622 56521
conv5 CPU 8711 56522 65233
pool5 CPU 128 65235 65363
fc6 CPU 6609 65363 71972
fc7 CPU 2855 71974 74829
fc8 CPU 742 74831 75573
prob CPU 29 75575 75604
conv1 CPU 2888 0 2888
norm1 CPU 1062 2890 3952
pool1 CPU 218 3954 4172
conv2 CPU 27992 4175 32167
norm2 CPU 2088 32169 34257
pool2 CPU 1407 34259 35666
conv3 CPU 9017 35667 44684
conv4 CPU 12882 44686 57568
conv5 CPU 8711 57570 66281
pool5 CPU 144 66283 66427
fc6 CPU 6699 66428 73127
fc7 CPU 2828 73129 75957
fc8 CPU 753 75958 76711
prob CPU 24 76711 76735
conv1 CPU 3169 0 3169
norm1 CPU 1345 3172 4517
pool1 CPU 766 4519 5285
conv2 CPU 27472 5288 32760
norm2 CPU 1741 32763 34504
pool2 CPU 1041 34507 35548
conv3 CPU 8676 35550 44226
conv4 CPU 12838 44228 57066
conv5 CPU 8664 57067 65731
pool5 CPU 125 65734 65859
fc6 CPU 6592 65860 72452
fc7 CPU 2786 72454 75240
fc8 CPU 743 75241 75984
prob CPU 23 75985 76008
conv1 CPU 3180 0 3180
norm1 CPU 1612 3183 4795
pool1 CPU 755 4797 5552
conv2 CPU 27217 5555 32772
norm2 CPU 1765 32774 34539
pool2 CPU 297 34542 34839
conv3 CPU 8706 34840 43546
conv4 CPU 12880 43548 56428
conv5 CPU 8631 56429 65060
pool5 CPU 135 65063 65198
fc6 CPU 6616 65198 71814
fc7 CPU 2607 71816 74423
fc8 CPU 680 74425 75105
prob CPU 23 75106 75129
conv1 CPU 3139 0 3139
norm1 CPU 1334 3141 4475
pool1 CPU 255 4478 4733
conv2 CPU 27709 4736 32445
norm2 CPU 1272 32447 33719
pool2 CPU 516 33722 34238
conv3 CPU 8976 34239 43215
conv4 CPU 12838 43216 56054
conv5 CPU 8585 56055 64640
pool5 CPU 129 64642 64771
fc6 CPU 6584 64772 71356
fc7 CPU 2765 71358 74123
fc8 CPU 767 74124 74891
prob CPU 23 74892 74915
conv1 CPU 2664 0 2664
norm1 CPU 1085 2666 3751
pool1 CPU 222 3753 3975
conv2 CPU 25899 3976 29875
norm2 CPU 2052 29877 31929
pool2 CPU 556 31932 32488
conv3 CPU 8687 32489 41176
conv4 CPU 12842 41178 54020
conv5 CPU 8626 54022 62648
pool5 CPU 137 62651 62788
fc6 CPU 6567 62788 69355
fc7 CPU 2817 69356 72173
fc8 CPU 746 72175 72921
prob CPU 25 72923 72948
conv1 CPU 2826 0 2826
norm1 CPU 1401 2829 4230
pool1 CPU 271 4233 4504
conv2 CPU 25949 4506 30455
norm2 CPU 3050 30457 33507
pool2 CPU 549 33510 34059
conv3 CPU 8717 34060 42777
conv4 CPU 12843 42779 55622
conv5 CPU 8599 55623 64222
pool5 CPU 132 64225 64357
fc6 CPU 6661 64358 71019
fc7 CPU 2781 71021 73802
fc8 CPU 752 73803 74555
prob CPU 23 74556 74579
conv1 CPU 2819 0 2819
norm1 CPU 1108 2821 3929
pool1 CPU 526 3931 4457
conv2 CPU 25867 4460 30327
norm2 CPU 2277 30328 32605
pool2 CPU 1009 32608 33617
conv3 CPU 8688 33618 42306
conv4 CPU 12900 42308 55208
conv5 CPU 8625 55210 63835
pool5 CPU 145 63838 63983
fc6 CPU 6521 63984 70505
fc7 CPU 2799 70506 73305
fc8 CPU 673 73306 73979
prob CPU 23 73980 74003
conv1 CPU 3339 0 3339
norm1 CPU 1833 3342 5175
pool1 CPU 486 5178 5664
conv2 CPU 27197 5666 32863
norm2 CPU 1833 32864 34697
pool2 CPU 1005 34701 35706
conv3 CPU 8944 35707 44651
conv4 CPU 12844 44653 57497
conv5 CPU 8671 57499 66170
pool5 CPU 133 66173 66306
fc6 CPU 6493 66307 72800
fc7 CPU 2805 72802 75607
fc8 CPU 745 75608 76353
prob CPU 24 76354 76378
