conv1_gpu OpenCL 3575 0 3575
conv1_cpu OpenCL 2050 3579 5629
conv1_concat OpenCL 406 5634 6040
relu1 OpenCL 490 6042 6532
norm1 OpenCL 497 6533 7030
pool1 OpenCL 666 7033 7699
conv2_cpu OpenCL 5830 7701 13531
conv2_gpu OpenCL 10076 13532 23608
conv2_concat OpenCL 1681 23609 25290
relu2 OpenCL 550 25295 25845
norm2 OpenCL 623 25846 26469
pool2 OpenCL 690 26470 27160
conv3_cpu OpenCL 1383 27161 28544
conv3_gpu OpenCL 1781 28545 30326
conv3_concat OpenCL 363 30327 30690
relu3 OpenCL 442 30690 31132
conv4_cpu OpenCL 1582 31133 32715
conv4_gpu OpenCL 3242 32718 35960
conv4_concat OpenCL 449 35961 36410
relu4 OpenCL 363 36410 36773
conv5_cpu OpenCL 1262 36773 38035
conv5_gpu OpenCL 2261 38036 40297
conv5_concat OpenCL 747 40298 41045
relu5 OpenCL 317 41045 41362
pool5 OpenCL 417 41363 41780
fc6 OpenCL 8636 41781 50417
relu6 OpenCL 1265 50420 51685
fc7 OpenCL 3943 51686 55629
relu7 OpenCL 296 55630 55926
fc8 OpenCL 3017 55927 58944
prob OpenCL 1157 58947 60104
conv1_gpu OpenCL 4002 0 4002
conv1_cpu OpenCL 1774 4003 5777
conv1_concat OpenCL 394 5779 6173
relu1 OpenCL 430 6175 6605
norm1 OpenCL 527 6606 7133
pool1 OpenCL 698 7135 7833
conv2_cpu OpenCL 5346 7835 13181
conv2_gpu OpenCL 9367 13183 22550
conv2_concat OpenCL 829 22552 23381
relu2 OpenCL 485 23383 23868
norm2 OpenCL 571 23869 24440
pool2 OpenCL 1223 24442 25665
conv3_cpu OpenCL 2638 25666 28304
conv3_gpu OpenCL 2142 28305 30447
conv3_concat OpenCL 1028 30449 31477
relu3 OpenCL 1775 31478 33253
conv4_cpu OpenCL 1767 33253 35020
conv4_gpu OpenCL 4669 35025 39694
conv4_concat OpenCL 588 39697 40285
relu4 OpenCL 456 40286 40742
conv5_cpu OpenCL 1373 40743 42116
conv5_gpu OpenCL 2260 42118 44378
conv5_concat OpenCL 477 44379 44856
relu5 OpenCL 395 44857 45252
pool5 OpenCL 440 45254 45694
fc6 OpenCL 12235 45696 57931
relu6 OpenCL 1696 57934 59630
fc7 OpenCL 4573 59632 64205
relu7 OpenCL 1737 64208 65945
fc8 OpenCL 3775 65946 69721
prob OpenCL 1470 69725 71195
conv1_gpu OpenCL 2561 0 2561
conv1_cpu OpenCL 2250 2564 4814
conv1_concat OpenCL 798 4822 5620
relu1 OpenCL 900 5628 6528
norm1 OpenCL 680 6531 7211
pool1 OpenCL 800 7216 8016
conv2_cpu OpenCL 6636 8018 14654
conv2_gpu OpenCL 10211 14656 24867
conv2_concat OpenCL 723 24869 25592
relu2 OpenCL 588 25595 26183
norm2 OpenCL 684 26184 26868
pool2 OpenCL 662 26869 27531
conv3_cpu OpenCL 1259 27532 28791
conv3_gpu OpenCL 2513 28793 31306
conv3_concat OpenCL 468 31308 31776
relu3 OpenCL 449 31777 32226
conv4_cpu OpenCL 1989 32227 34216
conv4_gpu OpenCL 3397 34220 37617
conv4_concat OpenCL 498 37618 38116
relu4 OpenCL 444 38117 38561
conv5_cpu OpenCL 1432 38562 39994
conv5_gpu OpenCL 2514 39996 42510
conv5_concat OpenCL 440 42511 42951
relu5 OpenCL 414 42952 43366
pool5 OpenCL 451 43367 43818
fc6 OpenCL 13300 43820 57120
relu6 OpenCL 1992 57121 59113
fc7 OpenCL 5637 59116 64753
relu7 OpenCL 1479 64757 66236
fc8 OpenCL 3277 66238 69515
prob OpenCL 450 69516 69966
conv1_gpu OpenCL 2517 0 2517
conv1_cpu OpenCL 1890 2519 4409
conv1_concat OpenCL 574 4411 4985
relu1 OpenCL 554 4988 5542
norm1 OpenCL 624 5543 6167
pool1 OpenCL 826 6170 6996
conv2_cpu OpenCL 6720 6998 13718
conv2_gpu OpenCL 9735 13720 23455
conv2_concat OpenCL 799 23457 24256
relu2 OpenCL 936 24264 25200
norm2 OpenCL 735 25204 25939
pool2 OpenCL 683 25940 26623
conv3_cpu OpenCL 1247 26625 27872
conv3_gpu OpenCL 2536 27873 30409
conv3_concat OpenCL 582 30411 30993
relu3 OpenCL 750 30994 31744
conv4_cpu OpenCL 1744 31745 33489
conv4_gpu OpenCL 3300 33493 36793
conv4_concat OpenCL 470 36794 37264
relu4 OpenCL 826 37265 38091
conv5_cpu OpenCL 2294 38092 40386
conv5_gpu OpenCL 2778 40388 43166
conv5_concat OpenCL 929 43168 44097
relu5 OpenCL 740 44098 44838
pool5 OpenCL 774 44839 45613
fc6 OpenCL 12038 45615 57653
relu6 OpenCL 439 57657 58096
fc7 OpenCL 4965 58099 63064
relu7 OpenCL 1883 63066 64949
fc8 OpenCL 2811 64950 67761
prob OpenCL 406 67763 68169
conv1_gpu OpenCL 2296 0 2296
conv1_cpu OpenCL 2108 2298 4406
conv1_concat OpenCL 1723 4409 6132
relu1 OpenCL 841 6134 6975
norm1 OpenCL 587 6976 7563
pool1 OpenCL 727 7566 8293
conv2_cpu OpenCL 5005 8295 13300
conv2_gpu OpenCL 7775 13302 21077
conv2_concat OpenCL 2500 21080 23580
relu2 OpenCL 544 23584 24128
norm2 OpenCL 566 24130 24696
pool2 OpenCL 578 24697 25275
conv3_cpu OpenCL 889 25277 26166
conv3_gpu OpenCL 1295 26168 27463
conv3_concat OpenCL 425 27465 27890
relu3 OpenCL 367 27891 28258
conv4_cpu OpenCL 1108 28259 29367
conv4_gpu OpenCL 2481 29370 31851
conv4_concat OpenCL 579 31851 32430
relu4 OpenCL 668 32432 33100
conv5_cpu OpenCL 1237 33101 34338
conv5_gpu OpenCL 1817 34339 36156
conv5_concat OpenCL 1587 36157 37744
relu5 OpenCL 338 37746 38084
pool5 OpenCL 1256 38086 39342
fc6 OpenCL 7533 39344 46877
relu6 OpenCL 1170 46879 48049
fc7 OpenCL 3170 48051 51221
relu7 OpenCL 316 51222 51538
fc8 OpenCL 2668 51539 54207
prob OpenCL 484 54208 54692
conv1_gpu OpenCL 3505 0 3505
conv1_cpu OpenCL 2420 3509 5929
conv1_concat OpenCL 481 5934 6415
relu1 OpenCL 471 6418 6889
norm1 OpenCL 1104 6890 7994
pool1 OpenCL 741 7998 8739
conv2_cpu OpenCL 4666 8741 13407
conv2_gpu OpenCL 7066 13409 20475
conv2_concat OpenCL 401 20477 20878
relu2 OpenCL 360 20880 21240
norm2 OpenCL 447 21241 21688
pool2 OpenCL 455 21690 22145
conv3_cpu OpenCL 754 22147 22901
conv3_gpu OpenCL 1219 22901 24120
conv3_concat OpenCL 613 24121 24734
relu3 OpenCL 1367 24735 26102
conv4_cpu OpenCL 954 26103 27057
conv4_gpu OpenCL 1616 27061 28677
conv4_concat OpenCL 277 28678 28955
relu4 OpenCL 235 28956 29191
conv5_cpu OpenCL 897 29192 30089
conv5_gpu OpenCL 1437 30090 31527
conv5_concat OpenCL 270 31528 31798
relu5 OpenCL 217 31799 32016
pool5 OpenCL 272 32017 32289
fc6 OpenCL 7011 32290 39301
relu6 OpenCL 1795 39302 41097
fc7 OpenCL 3007 41098 44105
relu7 OpenCL 213 44105 44318
fc8 OpenCL 2451 44319 46770
prob OpenCL 265 46771 47036
conv1_gpu OpenCL 1996 0 1996
conv1_cpu OpenCL 1472 1997 3469
conv1_concat OpenCL 334 3470 3804
relu1 OpenCL 337 3806 4143
norm1 OpenCL 448 4144 4592
pool1 OpenCL 578 4594 5172
conv2_cpu OpenCL 4553 5173 9726
conv2_gpu OpenCL 6589 9727 16316
conv2_concat OpenCL 428 16317 16745
relu2 OpenCL 357 16748 17105
norm2 OpenCL 460 17106 17566
pool2 OpenCL 745 17566 18311
conv3_cpu OpenCL 2176 18313 20489
conv3_gpu OpenCL 1219 20490 21709
conv3_concat OpenCL 280 21710 21990
relu3 OpenCL 262 21990 22252
conv4_cpu OpenCL 975 22253 23228
conv4_gpu OpenCL 1908 23230 25138
conv4_concat OpenCL 264 25139 25403
relu4 OpenCL 284 25404 25688
conv5_cpu OpenCL 942 25689 26631
conv5_gpu OpenCL 1432 26632 28064
conv5_concat OpenCL 279 28065 28344
relu5 OpenCL 282 28345 28627
pool5 OpenCL 306 28628 28934
fc6 OpenCL 7075 28936 36011
relu6 OpenCL 247 36013 36260
fc7 OpenCL 3084 36260 39344
relu7 OpenCL 234 39344 39578
fc8 OpenCL 2553 39578 42131
prob OpenCL 300 42132 42432
conv1_gpu OpenCL 2085 0 2085
conv1_cpu OpenCL 1477 2086 3563
conv1_concat OpenCL 318 3565 3883
relu1 OpenCL 396 3885 4281
norm1 OpenCL 475 4281 4756
pool1 OpenCL 586 4759 5345
conv2_cpu OpenCL 4558 5345 9903
conv2_gpu OpenCL 6757 9904 16661
conv2_concat OpenCL 370 16663 17033
relu2 OpenCL 398 17034 17432
norm2 OpenCL 532 17433 17965
pool2 OpenCL 496 17965 18461
conv3_cpu OpenCL 732 18463 19195
conv3_gpu OpenCL 1162 19195 20357
conv3_concat OpenCL 276 20358 20634
relu3 OpenCL 260 20635 20895
conv4_cpu OpenCL 947 20895 21842
conv4_gpu OpenCL 1894 21844 23738
conv4_concat OpenCL 527 23739 24266
