Conv2d_1a_3x3/Conv2D OpenCL 1855 0 1855
Conv2d_2a_3x3/Conv2D OpenCL 2418 1857 4275
Conv2d_2b_3x3/Conv2D OpenCL 3958 4277 8235
Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool OpenCL 1932 8236 10168
Mixed_3a/Branch_1/Conv2d_0a_3x3/Conv2D OpenCL 5625 10169 15794
Mixed_3a/concat OpenCL 1233 15800 17033
Mixed_4a/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 1433 17034 18467
Mixed_4a/Branch_0/Conv2d_1a_3x3/Conv2D OpenCL 2043 18469 20512
Mixed_4a/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1581 20514 22095
Mixed_4a/Branch_1/Conv2d_0b_1x7/Conv2D OpenCL 6154 22100 28254
Mixed_4a/Branch_1/Conv2d_0c_7x1/Conv2D OpenCL 6372 28257 34629
Mixed_4a/Branch_1/Conv2d_1a_3x3/Conv2D OpenCL 2291 34631 36922
Mixed_4a/concat OpenCL 660 36924 37584
Mixed_5a/Branch_0/Conv2d_1a_3x3/Conv2D OpenCL 7522 37585 45107
Mixed_5a/Branch_1/MaxPool_1a_3x3/MaxPool OpenCL 1340 45108 46448
Mixed_5a/concat OpenCL 480 46451 46931
Mixed_5b/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 1110 46932 48042
Mixed_5b/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1202 48045 49247
Mixed_5b/Branch_1/Conv2d_0b_3x3/Conv2D OpenCL 927 49249 50176
Mixed_5b/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1256 50177 51433
Mixed_5b/Branch_2/Conv2d_0b_3x3/Conv2D OpenCL 943 51438 52381
Mixed_5b/Branch_2/Conv2d_0c_3x3/Conv2D OpenCL 1073 52382 53455
Mixed_5b/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1969 53457 55426
Mixed_5b/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1177 55429 56606
Mixed_5b/concat OpenCL 835 56608 57443
Mixed_5c/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 1109 57444 58553
Mixed_5c/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 997 58554 59551
Mixed_5c/Branch_1/Conv2d_0b_3x3/Conv2D OpenCL 953 59553 60506
Mixed_5c/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1035 60508 61543
Mixed_5c/Branch_2/Conv2d_0b_3x3/Conv2D OpenCL 953 61545 62498
Mixed_5c/Branch_2/Conv2d_0c_3x3/Conv2D OpenCL 1076 62499 63575
Mixed_5c/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1449 63577 65026
Mixed_5c/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1034 65027 66061
Mixed_5c/concat OpenCL 477 66067 66544
Mixed_5d/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 1090 66544 67634
Mixed_5d/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1001 67636 68637
Mixed_5d/Branch_1/Conv2d_0b_3x3/Conv2D OpenCL 896 68638 69534
Mixed_5d/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1023 69536 70559
Mixed_5d/Branch_2/Conv2d_0b_3x3/Conv2D OpenCL 945 70561 71506
Mixed_5d/Branch_2/Conv2d_0c_3x3/Conv2D OpenCL 1089 71508 72597
Mixed_5d/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1417 72598 74015
Mixed_5d/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1070 74017 75087
Mixed_5d/concat OpenCL 436 75089 75525
Mixed_5e/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 1116 75525 76641
Mixed_5e/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1028 76643 77671
Mixed_5e/Branch_1/Conv2d_0b_3x3/Conv2D OpenCL 945 77673 78618
Mixed_5e/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1034 78619 79653
Mixed_5e/Branch_2/Conv2d_0b_3x3/Conv2D OpenCL 947 79656 80603
Mixed_5e/Branch_2/Conv2d_0c_3x3/Conv2D OpenCL 1084 80604 81688
Mixed_5e/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1444 81689 83133
Mixed_5e/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1050 83136 84186
Mixed_5e/concat OpenCL 503 84189 84692
Mixed_6a/Branch_0/Conv2d_1a_3x3/Conv2D OpenCL 7612 84693 92305
Mixed_6a/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1693 92307 94000
Mixed_6a/Branch_1/Conv2d_0b_3x3/Conv2D OpenCL 2617 94002 96619
Mixed_6a/Branch_1/Conv2d_1a_3x3/Conv2D OpenCL 4347 96620 100967
Mixed_6a/Branch_2/MaxPool_1a_3x3/MaxPool OpenCL 815 100969 101784
Mixed_6a/concat OpenCL 411 101785 102196
Mixed_6b/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 2764 102196 104960
Mixed_6b/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1527 104961 106488
Mixed_6b/Branch_1/Conv2d_0b_1x7/Conv2D OpenCL 3388 106489 109877
Mixed_6b/Branch_1/Conv2d_0c_7x1/Conv2D OpenCL 4302 109878 114180
Mixed_6b/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1814 114181 115995
Mixed_6b/Branch_2/Conv2d_0b_7x1/Conv2D OpenCL 2104 115996 118100
Mixed_6b/Branch_2/Conv2d_0c_1x7/Conv2D OpenCL 3147 118101 121248
Mixed_6b/Branch_2/Conv2d_0d_7x1/Conv2D OpenCL 3641 121255 124896
Mixed_6b/Branch_2/Conv2d_0e_1x7/Conv2D OpenCL 4050 124900 128950
Mixed_6b/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1231 128951 130182
Mixed_6b/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1226 130184 131410
Mixed_6b/concat OpenCL 419 131411 131830
Mixed_6c/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 2706 131831 134537
Mixed_6c/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1492 134538 136030
Mixed_6c/Branch_1/Conv2d_0b_1x7/Conv2D OpenCL 3060 136031 139091
Mixed_6c/Branch_1/Conv2d_0c_7x1/Conv2D OpenCL 3646 139092 142738
Mixed_6c/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1509 142740 144249
Mixed_6c/Branch_2/Conv2d_0b_7x1/Conv2D OpenCL 2088 144250 146338
Mixed_6c/Branch_2/Conv2d_0c_1x7/Conv2D OpenCL 3095 146339 149434
Mixed_6c/Branch_2/Conv2d_0d_7x1/Conv2D OpenCL 3550 149435 152985
Mixed_6c/Branch_2/Conv2d_0e_1x7/Conv2D OpenCL 3694 152988 156682
Mixed_6c/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1166 156683 157849
Mixed_6c/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1284 157851 159135
Mixed_6c/concat OpenCL 474 159136 159610
Mixed_6d/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 2708 159610 162318
Mixed_6d/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1530 162319 163849
Mixed_6d/Branch_1/Conv2d_0b_1x7/Conv2D OpenCL 3075 163850 166925
Mixed_6d/Branch_1/Conv2d_0c_7x1/Conv2D OpenCL 3663 166927 170590
Mixed_6d/Branch_2/Conv2d_0a_1x1/Conv2D OpenCL 1529 170591 172120
Mixed_6d/Branch_2/Conv2d_0b_7x1/Conv2D OpenCL 2097 172121 174218
Mixed_6d/Branch_2/Conv2d_0c_1x7/Conv2D OpenCL 3107 174219 177326
Mixed_6d/Branch_2/Conv2d_0d_7x1/Conv2D OpenCL 3565 177327 180892
Mixed_6d/Branch_2/Conv2d_0e_1x7/Conv2D OpenCL 3584 180893 184477
Mixed_6d/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 1210 184478 185688
Mixed_6d/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1230 185689 186919
Mixed_6d/concat OpenCL 419 186920 187339
Mixed_6e/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 2688 187340 190028
Mixed_6e/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1494 190029 191523
