task scheduler:,,,,,,,,,,,,,
Time(%),Time(us),Count,Avg(us),Min(us),Max(us),Waiting(us),Running(us),Pending(us),Type,API,Task ID,Op Name,Stream ID
1.6788,23255.896,50,465.117,455.207,515.519,0,23255.896,0,kernel AI cpu task,,22,relu6,516
1.6451,22787.924,50,455.758,443.384,557.29,0,22787.924,0,kernel AI cpu task,,13,resize_bilinearv2,516
1.0694,14814.221,50,296.284,284.997,396.978,0,14814.221,0,kernel AI cpu task,,14,ArgMaxV2,516
1.0201,14130.473,50,282.609,268.123,425.779,0,14130.473,0,kernel AI cpu task,,18,bias_add_1,516
1.0071,13951.051,50,279.021,262.603,648.956,0,13951.051,0,kernel AI cpu task,,7,cast0,516
0.9725,13470.993,50,269.419,255.466,363.592,0,13470.993,0,kernel AI cpu task,,12,trans_Cast_15,516
0.9583,13275.214,50,265.504,256.353,292.081,0,13275.214,0,kernel AI cpu task,,17,trans_Cast_30,516
0.9563,13246.366,50,264.927,251.977,355.258,0,13246.366,0,kernel AI cpu task,,26,Softmax,516
0.94,13020.942,50,260.418,252.914,282.551,0,13020.942,0,kernel AI cpu task,,19,trans_Cast_16,516
0.9137,12657.561,50,253.151,246.508,283.592,0,12657.561,0,kernel AI cpu task,,15,fusion_cast_op_3,516
0.1899,2628.415,50,52.568,46.194,76.716,0,2628.415,0,kernel AI core task,KernelLaunch,23,MatMul_2,516
0.1893,2620.6,50,52.412,28.852,57.492,0,2620.6,0,kernel AI core task,KernelLaunch,9,Conv2d1,516
0.1832,2536.282,50,50.725,37.549,55.621,0,2536.282,0,kernel AI core task,KernelLaunch,8,quant,516
0.1695,2346.663,50,46.933,41.715,73.747,0,2346.663,0,kernel AI core task,KernelLaunch,3,transdata,516
0.1631,2258.636,50,45.172,41.872,50.987,0,2258.636,0,kernel AI core task,KernelLaunch,21,MatMul_1,516
0.1576,2181.483,50,43.629,36.453,47.861,0,2181.483,0,kernel AI core task,KernelLaunch,24,trans_TransData_29,516
0.1266,1752.86,50,35.057,31.924,41.821,0,1752.86,0,kernel AI core task,KernelLaunch,16,add,516
0.1237,1712.129,50,34.242,30.62,40.101,0,1712.129,0,kernel AI core task,KernelLaunch,20,trans_TransData_17,516
0.115,1592.023,50,31.84,26.142,37.394,0,1592.023,0,kernel AI core task,KernelLaunch,4,trans_TransData_2,516
0.1066,1475.205,50,29.504,25.363,37.133,0,1475.205,0,kernel AI core task,KernelLaunch,5,add0,516
0.104,1440.509,50,28.81,26.663,34.424,0,1440.509,0,kernel AI core task,KernelLaunch,10,dequant,516
0.1038,1437.641,50,28.752,23.123,33.382,0,1437.641,0,kernel AI core task,KernelLaunch,6,trans_TransData_6,516
0.1011,1400.298,50,28.005,26.038,31.663,0,1400.298,0,kernel AI core task,KernelLaunch,11,trans_TransData_14,516
0.0123,169.717,50,3.394,1.979,4.322,0,169.717,0,add model end graph task,,27,data,516
,,,,,,,,,,,,,
op counter:,,,,,,,,,,,,,
Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%),,,,,
ir_build_sample1,FrameworkOp,AI CPU,500,154610.641,246.508,309.221,648.956,85.575735,,,,,
ir_build_sample1,TransData,AI Core,300,10677.352,21.821,35.591,52.652,5.909828,,,,,
ir_build_sample1,MatMul,AI Core,100,4907.525,42.339,49.075,73.692,2.716275,,,,,
ir_build_sample1,Add,AI Core,100,3202.894,22.602,32.028,41.924,1.772776,,,,,
ir_build_sample1,Conv2D,AI Core,50,2686.941,50.253,53.738,60.152,1.4872,,,,,
ir_build_sample1,AscendQuant,AI Core,50,2611.323,47.964,52.226,58.329,1.445346,,,,,
ir_build_sample1,AscendDequant,AI Core,50,1460.615,27.704,29.212,31.038,0.808439,,,,,
ir_build_sample1,Data,N/A,150,513.831,2.656,3.425,4.843,0.284401,,,,,
